2023-06-19 21:51:30.329 [http-nio-9000-exec-1] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@7782d9d4,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:52:50.742 [http-nio-9000-exec-3] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:53:21.261 [http-nio-9000-exec-5] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:53:24.003 [http-nio-9000-exec-4] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:53:24.844 [http-nio-9000-exec-2] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] 
2023-06-19 21:53:25.914 [http-nio-9000-exec-6] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:53:26.813 [http-nio-9000-exec-8] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:53:27.276 [http-nio-9000-exec-7] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] 
2023-06-19 21:53:27.600 [http-nio-9000-exec-10] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] 
2023-06-19 21:53:28.118 [http-nio-9000-exec-9] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:53:28.541 [http-nio-9000-exec-1] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:53:29.029 [http-nio-9000-exec-5] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:53:29.549 [http-nio-9000-exec-4] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:53:30.122 [http-nio-9000-exec-2] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:53:30.643 [http-nio-9000-exec-6] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:53:31.169 [http-nio-9000-exec-8] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:53:31.688 [http-nio-9000-exec-7] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] 
2023-06-19 21:53:32.096 [http-nio-9000-exec-10] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] 
2023-06-19 21:53:32.562 [http-nio-9000-exec-9] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:53:42.715 [http-nio-9000-exec-1] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:53:43.365 [http-nio-9000-exec-5] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
2023-06-19 21:53:43.792 [http-nio-9000-exec-4] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] 
2023-06-19 21:53:44.108 [http-nio-9000-exec-2] ERROR c.e.springbase.exception.GlobalExceptionHandler - 错误信息Validation failed for argument [0] in public com.eztech.springbase.vo.ResultVo com.eztech.springbase.controller.UserController.create(com.eztech.springbase.dto.user.SaveUserDto) with 2 errors: [Field error in object 'saveUserDto' on field 'id': rejected value [0]; codes [Null.saveUserDto.id,Null.id,Null.long,Null]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.id,id]; arguments []; default message [id]]; default message [id必须为null或空]] [Field error in object 'saveUserDto' on field 'password': rejected value [admin]; codes [Pattern.saveUserDto.password,Pattern.password,Pattern.java.lang.String,Pattern]; arguments [org.springframework.context.support.DefaultMessageSourceResolvable: codes [saveUserDto.password,password]; arguments []; default message [password],[Ljavax.validation.constraints.Pattern$Flag;@3f297039,^(?=.*[a-zA-Z])(?=.*[0-9])(?=.*[._~!@#$^&*])[A-Za-z0-9._~!@#$^&*]{8,20}$]; default message [密码不符合规范]] 
