2023-06-19 21:43:32.131 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-06-19 21:43:32.138 [restartedMain] INFO  com.eztech.springbase.SpringBaseApplication - Starting SpringBaseApplication using Java 1.8.0_371 on Workstation with PID 14264 (K:\Project\spring-base\target\classes started by Joker in K:\Project\spring-base)
2023-06-19 21:43:32.160 [restartedMain] INFO  com.eztech.springbase.SpringBaseApplication - The following 1 profile is active: "dev"
2023-06-19 21:43:32.313 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-06-19 21:43:32.313 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-06-19 21:43:36.196 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9000 (http)
2023-06-19 21:43:36.210 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9000"]
2023-06-19 21:43:36.212 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-06-19 21:43:36.212 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.75]
2023-06-19 21:43:36.474 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2023-06-19 21:43:36.474 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4159 ms
2023-06-19 21:43:39.158 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-06-19 21:43:39.665 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9000"]
2023-06-19 21:43:39.741 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9000 (http) with context path '/api'
2023-06-19 21:43:40.311 [restartedMain] INFO  com.eztech.springbase.SpringBaseApplication - Started SpringBaseApplication in 9.667 seconds (JVM running for 13.172)
2023-06-19 21:43:52.610 [http-nio-9000-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-19 21:43:52.614 [http-nio-9000-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-06-19 21:43:52.622 [http-nio-9000-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 3 ms
2023-06-19 21:51:01.574 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-06-19 21:51:01.605 [restartedMain] INFO  com.eztech.springbase.SpringBaseApplication - Starting SpringBaseApplication using Java 1.8.0_371 on Workstation with PID 11968 (K:\Project\spring-base\target\classes started by Joker in K:\Project\spring-base)
2023-06-19 21:51:01.607 [restartedMain] INFO  com.eztech.springbase.SpringBaseApplication - The following 1 profile is active: "dev"
2023-06-19 21:51:01.720 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-06-19 21:51:01.721 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-06-19 21:51:05.009 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9000 (http)
2023-06-19 21:51:05.025 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9000"]
2023-06-19 21:51:05.027 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-06-19 21:51:05.027 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.75]
2023-06-19 21:51:05.241 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2023-06-19 21:51:05.242 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3520 ms
2023-06-19 21:51:08.141 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2023-06-19 21:51:08.865 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9000"]
2023-06-19 21:51:08.900 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9000 (http) with context path '/api'
2023-06-19 21:51:09.170 [http-nio-9000-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-19 21:51:09.170 [http-nio-9000-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-06-19 21:51:09.174 [http-nio-9000-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 4 ms
2023-06-19 21:51:09.468 [restartedMain] INFO  com.eztech.springbase.SpringBaseApplication - Started SpringBaseApplication in 9.205 seconds (JVM running for 12.18)
2023-06-19 21:52:38.765 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2023-06-19 21:52:38.777 [restartedMain] INFO  com.eztech.springbase.SpringBaseApplication - Starting SpringBaseApplication using Java 1.8.0_371 on Workstation with PID 14536 (K:\Project\spring-base\target\classes started by Joker in K:\Project\spring-base)
2023-06-19 21:52:38.780 [restartedMain] INFO  com.eztech.springbase.SpringBaseApplication - The following 1 profile is active: "dev"
2023-06-19 21:52:38.956 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2023-06-19 21:52:38.957 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-06-19 21:52:41.788 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 9000 (http)
2023-06-19 21:52:41.798 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-9000"]
2023-06-19 21:52:41.798 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-06-19 21:52:41.799 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.75]
2023-06-19 21:52:41.934 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2023-06-19 21:52:41.935 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2976 ms
2023-06-19 21:52:43.761 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
